date,phong_ban,sum_duration
2020-02-06,wo_vt_cntt,77991.1
2020-02-06,wo_co_dien,125645.77
2020-02-06,wo_ksnn,30237.11
2020-02-06,wo_others,20317.68
2020-02-07,wo_vt_cntt,75925.49
2020-02-07,wo_noc,14029.7
2020-02-07,wo_others,21150.58
2020-02-07,wo_ksnn,29137.01
2020-02-07,wo_co_dien,122767.53
2020-02-08,wo_others,21222.26
2020-02-08,wo_ksnn,27912.19
2020-02-08,wo_co_dien,120870.5
2020-02-08,wo_noc,12842.09
2020-02-08,wo_vt_cntt,73998.08
2020-02-09,wo_ksnn,27439.34
2020-02-09,wo_noc,14428.69
2020-02-09,wo_vt_cntt,72426.21
2020-02-09,wo_others,20923.61
2020-02-09,wo_co_dien,119713.39
2020-02-10,wo_co_dien,117781.99
2020-02-10,wo_ksnn,27162.89
2020-02-10,wo_others,22513.59
2020-02-10,wo_noc,14433.78
2020-02-10,wo_vt_cntt,77586.3
2020-02-11,wo_co_dien,114953.76
2020-02-11,wo_others,31445.76
2020-02-11,wo_vt_cntt,76647.91
2020-02-11,wo_ktts,9.44
2020-02-11,wo_ksnn,26642.79
2020-02-11,wo_noc,14086.64
2020-02-12,wo_vt_cntt,75825.28
2020-02-12,wo_others,33558.37
2020-02-12,wo_noc,13798.65
2020-02-12,wo_co_dien,111991.65
2020-02-12,wo_ktts,24.0
2020-02-12,wo_ksnn,25710.94
2020-02-13,wo_noc,14170.03
2020-02-13,wo_ksnn,24372.48
2020-02-13,wo_others,43079.07
2020-02-13,wo_vt_cntt,75363.06
2020-02-13,wo_co_dien,109229.24
2020-02-13,wo_ktts,24.0
2020-02-14,wo_ktts,24.0
2020-02-14,wo_ksnn,23538.2
2020-02-14,wo_noc,13776.82
2020-02-14,wo_co_dien,106732.58
2020-02-14,wo_vt_cntt,74749.37
2020-02-14,wo_others,153813.9
2020-02-15,wo_noc,14038.93
2020-02-15,wo_vt_cntt,74490.09
2020-02-15,wo_others,157824.97
2020-02-15,wo_ktts,24.0
2020-02-15,wo_ksnn,22508.05
2020-02-15,wo_co_dien,104204.16
2020-02-16,wo_vt_cntt,74270.18
2020-02-16,wo_noc,13769.72
2020-02-16,wo_co_dien,101745.67
2020-02-16,wo_others,154290.8
2020-02-16,wo_ksnn,21124.8
2020-02-16,wo_ktts,24.0
2020-02-17,wo_co_dien,99454.6
2020-02-17,wo_others,149595.58
2020-02-17,wo_ksnn,20151.31
2020-02-17,wo_noc,14193.86
2020-02-17,wo_vt_cntt,79880.91
2020-02-17,wo_ktts,24.0
2020-02-18,wo_co_dien,96215.22
2020-02-18,wo_ktts,24.0
2020-02-18,wo_others,144170.46
2020-02-18,wo_ksnn,18349.95
2020-02-18,wo_vt_cntt,80466.02
2020-02-18,wo_noc,14254.76
2020-02-19,wo_noc,13310.24
2020-02-19,wo_co_dien,92719.26
2020-02-19,wo_others,140380.0
2020-02-19,wo_ksnn,14015.73
2020-02-19,wo_vt_cntt,80029.75
2020-02-19,wo_ktts,24.0
2020-02-20,wo_ksnn,29920.58
2020-02-20,wo_vt_cntt,79461.2
2020-02-20,wo_others,134958.59
2020-02-20,wo_co_dien,88643.5
2020-02-20,wo_ktts,24.0
2020-02-20,wo_noc,12504.43
2020-02-21,wo_ksnn,36289.34
2020-02-21,wo_co_dien,83988.18
2020-02-21,wo_vt_cntt,78602.23
2020-02-21,wo_ktts,24.0
2020-02-21,wo_others,130676.79
2020-02-21,wo_noc,12357.22
2020-02-22,wo_vt_cntt,77776.03
2020-02-22,wo_noc,11858.77
2020-02-22,wo_co_dien,79227.43
2020-02-22,wo_ktts,24.0
2020-02-22,wo_ksnn,35935.0
2020-02-22,wo_others,126507.22
2020-02-23,wo_ksnn,35384.16
2020-02-23,wo_co_dien,75414.71
2020-02-23,wo_ktts,24.0
2020-02-23,wo_vt_cntt,77357.19
2020-02-23,wo_others,121628.25
2020-02-23,wo_noc,11679.29
2020-02-24,wo_co_dien,70847.96
2020-02-24,wo_others,116936.9
2020-02-24,wo_vt_cntt,76777.12
2020-02-24,wo_ksnn,35202.08
2020-02-24,wo_noc,12679.15
2020-02-24,wo_ktts,24.0
2020-02-25,wo_vt_cntt,76656.0
2020-02-25,wo_others,110310.31
2020-02-25,wo_ksnn,35294.03
2020-02-25,wo_noc,12832.05
2020-02-25,wo_ktts,24.0
2020-02-25,wo_co_dien,63105.63
2020-02-26,wo_ktts,24.0
