2024/03/08 10:17:50 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 10:17:50 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 10:17:51 app,line: 27     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 10:17:51 app,line: 28     INFO | NumberRequest: 1
2024/03/08 10:21:57 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 10:21:57 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 10:21:58 app,line: 27     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 10:21:58 app,line: 28     INFO | NumberRequest: 1
2024/03/08 10:23:10 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 10:23:10 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 10:23:12 app,line: 27     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 10:23:12 app,line: 28     INFO | NumberRequest: 1
2024/03/08 10:24:57 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 10:24:57 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 10:24:58 app,line: 27     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 10:24:58 app,line: 28     INFO | NumberRequest: 1
2024/03/08 10:27:34 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 10:27:34 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 10:27:40 app,line: 27     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 10:27:40 app,line: 28     INFO | NumberRequest: 1
2024/03/08 10:29:10 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 10:29:10 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 10:29:12 app,line: 27     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 10:29:12 app,line: 28     INFO | NumberRequest: 1
2024/03/08 10:33:11 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 10:33:11 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 10:33:16 app,line: 57     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 10:33:16 app,line: 58     INFO | NumberRequest: 1
2024/03/08 10:35:06 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 10:35:06 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 10:35:10 app,line: 27     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
