,date,phong_ban,sum_duration
152,2020-03-11,wo_ksnn,32569.57
153,2020-06-28,wo_others,217734.91
154,2020-02-07,wo_noc,14029.7
155,2020-09-12,wo_noc,20619.72
156,2020-09-16,wo_noc,21489.93
157,2020-10-31,wo_noc,17578.9
158,2020-11-08,wo_noc,18710.98
159,2020-07-10,wo_ksnn,51755.23
160,2020-02-15,wo_vt_cntt,74490.09
161,2020-10-27,wo_vt_cntt,168.0
162,2020-11-22,wo_vt_cntt,175.09
163,2020-03-07,wo_ktts,24.0
164,2020-09-04,wo_ktts,360.0
165,2020-11-21,wo_ktts,384.0
166,2020-01-08,wo_co_dien,239999.84
167,2020-03-19,wo_others,194375.91
168,2020-12-09,wo_others,329611.43
169,2020-01-23,wo_noc,23212.94
170,2020-03-13,wo_noc,17525.64
171,2020-04-20,wo_noc,11131.21
172,2020-07-24,wo_ksnn,44157.66
173,2020-08-07,wo_ksnn,49787.51
174,2020-10-02,wo_ksnn,67523.43
175,2020-02-03,wo_vt_cntt,82998.08
176,2020-03-19,wo_vt_cntt,76200.0
177,2020-09-11,wo_co_dien,151539.64
178,2020-11-06,wo_co_dien,145197.59
179,2020-03-01,wo_ktts,24.0
180,2020-06-13,wo_ktts,96.0
181,2020-05-13,wo_co_dien,275720.79
182,2020-05-27,wo_others,232755.18
183,2020-07-05,wo_others,198477.0
184,2020-12-30,wo_others,262155.64
185,2020-05-11,wo_noc,16801.96
186,2020-06-03,wo_noc,18430.5
187,2020-09-22,wo_ksnn,48903.35
188,2020-06-05,wo_vt_cntt,144.0
189,2020-06-03,wo_ktts,96.0
190,2020-08-04,wo_ktts,360.0
191,2020-10-18,wo_ktts,360.0
192,2020-03-07,wo_noc,16030.4
193,2020-03-10,wo_noc,16775.79
194,2020-04-13,wo_ktts,24.0
195,2020-10-16,wo_others,390386.41
196,2020-12-28,wo_others,270697.47
197,2020-11-23,wo_noc,21288.39
198,2020-11-10,wo_ksnn,49821.98
199,2020-10-31,wo_vt_cntt,168.0
